time_in_US,yrimmig_est,constant,timeUS_adj,yrimm_adj,adjustment,adjustment_capped
0,1971,.64070064,0,0,.64070064,.64070064
1,1971,.64070064,.37388834,0,1.014589,1
2,1971,.64070064,.72646868,0,1.3671694,1
3,1971,.64070064,.61070395,0,1.2514045,1
4,1971,.64070064,.58673352,0,1.2274342,1
5,1971,.64070064,.55403966,0,1.1947403,1
6,1971,.64070064,.59103948,0,1.2317401,1
7,1971,.64070064,.59744465,0,1.2381454,1
8,1971,.64070064,.56513602,0,1.2058367,1
9,1971,.64070064,.61914712,0,1.2598478,1
10,1971,.64070064,.51983696,0,1.1605376,1
11,1971,.64070064,.64320952,0,1.2839102,1
12,1971,.64070064,.59495008,0,1.2356508,1
13,1971,.64070064,.58372527,0,1.2244259,1
14,1971,.64070064,.58822393,0,1.2289245,1
15,1971,.64070064,.56357592,0,1.2042766,1
16,1971,.64070064,.60242528,0,1.2431259,1
17,1971,.64070064,.58379775,0,1.2244984,1
18,1971,.64070064,.56637985,0,1.2070805,1
19,1971,.64070064,.61414611,0,1.2548468,1
20,1971,.64070064,.52070755,0,1.1614082,1
21,1971,.64070064,.63150889,0,1.2722095,1
22,1971,.64070064,.58436596,0,1.2250667,1
23,1971,.64070064,.5662691,0,1.2069697,1
24,1971,.64070064,.57828248,0,1.2189832,1
25,1971,.64070064,.54290146,0,1.1836021,1
26,1971,.64070064,.5617075,0,1.2024081,1
27,1971,.64070064,.55467004,0,1.1953707,1
28,1971,.64070064,.54914731,0,1.1898479,1
29,1971,.64070064,.56268519,0,1.2033858,1
0,1972,.64070064,0,-.23525138,.40544927,.40544927
1,1972,.64070064,.37388834,-.23525138,.77933758,.77933758
2,1972,.64070064,.72646868,-.23525138,1.131918,1
3,1972,.64070064,.61070395,-.23525138,1.0161532,1
4,1972,.64070064,.58673352,-.23525138,.99218279,.99218279
5,1972,.64070064,.55403966,-.23525138,.95948893,.95948893
6,1972,.64070064,.59103948,-.23525138,.99648875,.99648875
7,1972,.64070064,.59744465,-.23525138,1.0028939,1
8,1972,.64070064,.56513602,-.23525138,.97058529,.97058529
9,1972,.64070064,.61914712,-.23525138,1.0245963,1
10,1972,.64070064,.51983696,-.23525138,.92528623,.92528623
11,1972,.64070064,.64320952,-.23525138,1.0486587,1
12,1972,.64070064,.59495008,-.23525138,1.0003994,1
13,1972,.64070064,.58372527,-.23525138,.98917454,.98917454
14,1972,.64070064,.58822393,-.23525138,.99367321,.99367321
15,1972,.64070064,.56357592,-.23525138,.96902519,.96902519
16,1972,.64070064,.60242528,-.23525138,1.0078745,1
17,1972,.64070064,.58379775,-.23525138,.98924702,.98924702
18,1972,.64070064,.56637985,-.23525138,.97182912,.97182912
19,1972,.64070064,.61414611,-.23525138,1.0195954,1
