monthlag,adj0,adjA,adjB,adjC,adjyA,adjyB,adjyC,adj0_xtra,adjA_xtra,adjB_xtra,adjC_xtra,adjyA_xtra,adjyB_xtra,adjyC_xtra
1,.63650292,.07251209,.011702061,.013156556,.87014514,.14042473,.15787868,.41413286,.047179107,.011314932,.010387206,.56614828,.13577919,.12464648
2,.66880012,.14741471,.034149773,.037065033,.88448834,.20489866,.22239019,.43514663,.095913582,.033020027,.029263141,.57548052,.19812018,.17557883
3,.69326293,.22198093,.06781628,.071713261,.88792372,.27126512,.28685302,.45106307,.14442918,.065572776,.056618195,.57771569,.2622911,.22647275
4,.71169841,.29467401,.11012165,.11413606,.88402194,.33036491,.34240818,.46305788,.19172604,.10647859,.090111338,.57517701,.31943575,.27033401
5,.72185636,.36259744,.14873028,.15321375,.87023389,.35695264,.36771303,.46966702,.23591959,.14380997,.12096349,.56620604,.34514388,.29031238
6,.73472667,.43021604,.19157422,.19605917,.86043209,.38314846,.39211833,.47804093,.27991483,.18523654,.15479028,.55982864,.37047312,.30958056
7,.76240492,.50636476,.23576109,.2403287,.86805385,.40416187,.41199201,.49604946,.32946005,.22796161,.18974143,.56478763,.39079136,.32527101
8,.79254609,.58533978,.27793369,.28230375,.87800968,.41690055,.42345557,.51566046,.38084418,.26873904,.22288108,.57126522,.4031086,.33432156
9,.84518015,.6837911,.33318168,.3377001,.91172147,.44424227,.45026672,.54990613,.44490033,.32215932,.26661694,.59319937,.42954582,.35548919
10,.87168789,.76354998,.38104156,.3999157,.91625994,.45724985,.47989884,.5671531,.49679446,.36843592,.31573665,.59615225,.44212306,.37888399
11,.89094442,.83705729,.42625123,.46906537,.91315341,.46500137,.51170772,.57968211,.54462111,.41214994,.37033087,.59413105,.44961816,.40399736
12,.89476115,.89476985,.45824111,.5293594,.89476985,.45824111,.5293594,.58216542,.58217108,.44308153,.41793349,.58217001,.44308153,.41793349
13,.65217453,.89139259,.51865053,.58521479,.89139259,.51865053,.58521479,.4243294,.5799737,.5014925,.46203178,.57997262,.5014925,.46203178
14,.6849578,.90586072,.56048882,.60683191,.90586072,.56048882,.60683191,.44899693,.59380108,.54332936,.48641193,.59380001,.54332936,.48641193
15,.70932168,.90866792,.59893191,.62110317,.90866792,.59893191,.62110317,.46847609,.60013556,.58208054,.5055685,.60013455,.58208054,.5055685
16,.72293437,.89661109,.62239224,.63332313,.89661109,.62239224,.63332313,.48109674,.59667474,.6064319,.52363235,.59667373,.6064319,.52363235
17,.73410922,.88381606,.64322186,.65530199,.88381612,.64322186,.65530199,.49227601,.59266585,.62833863,.55047184,.59266484,.62833863,.55047184
18,.74698102,.87375534,.6677556,.68032539,.87375534,.66775566,.68032539,.50477463,.59044278,.6539861,.58078313,.59044176,.65398616,.58078313
19,.77657068,.88328481,.70407569,.71622401,.88328487,.70407569,.71622401,.52885276,.6015262,.69133919,.62153369,.60152525,.69133919,.62153369
20,.80694109,.89318419,.74040854,.75161397,.89318419,.74040854,.75161397,.55384439,.61303735,.72889847,.66320491,.61303633,.72889847,.66320491
21,.86097002,.92808443,.79890794,.80933398,.92808437,.79890794,.80933398,.59559739,.64202541,.78853148,.72634077,.64202434,.78853148,.72634077
22,.88770145,.93254572,.83209938,.84478986,.93254572,.83209944,.84478986,.61898142,.65025073,.82343084,.77134371,.65024966,.8234309,.77134371
23,.90759444,.92979336,.85768539,.87155163,.92979336,.85768539,.87155157,.63793445,.65353769,.85096657,.80986071,.65353668,.85096657,.80986065
24,.91084868,.91055298,.86830419,.87989217,.91055298,.86830419,.87989217,.64540446,.64519495,.86375767,.8323397,.64519399,.86375767,.8323397
25,.66256565,.90692288,.97292441,.94795066,.90692288,.97292447,.94795066,.47330886,.64786732,.97037053,.9131704,.64786637,.97037059,.9131704
26,.69657606,.92237687,1,.98820192,.92237687,1,.98820186,.50169891,.66432875,1,.96973461,.66432774,1,.96973455
27,.71994889,.92324668,1,1,.92324668,1,1,.52283496,.67047209,1,1,.67047113,1,1
28,.73096633,.90781182,1,1,.90781182,1,1,.53527695,.66477853,1,1,.66477764,1,1
29,.74372679,.89645815,1,1,.89645815,1,1,.54921603,.66200274,1,1,.66200185,1,1
30,.75814122,.88771248,1,1,.88771248,1,1,.56462407,.66112202,1,1,.66112113,1,1
31,.79051721,.89991957,1,1,.89991957,1,1,.59378821,.67596459,1,1,.6759637,1,1
32,.8196283,.90786886,1,1,.90786886,1,1,.6209836,.68783826,1,1,.68783736,1,1
33,.87121212,.93965459,1,1,.93965453,1,1,.66582882,.71813637,1,1,.71813542,1,1
34,.90103644,.94695961,1,1,.94695961,1,1,.69468772,.7300939,1,1,.73009306,1,1
35,.92163122,.94445592,1,1,.94445592,1,1,.71688044,.7346344,1,1,.73463356,1,1
36,.92534971,.92521256,1,1,.92521256,1,1,.72622645,.7261188,1,1,.72611797,1,1
37,.8433345,.96040678,1,1,.96040672,1,1,.66784781,.7605589,1,1,.76055807,1,1
38,.852507,.95799309,1,1,.95799309,1,1,.68127531,.76557386,1,1,.76557302,1,1
39,.8581053,.95184129,1,1,.95184129,1,1,.69206762,.76766634,1,1,.76766557,1,1
40,.86278766,.94762146,1,1,.94762146,1,1,.70231509,.77137041,1,1,.77136964,1,1
