year,month,time_in_US,nonresp_adj
1994,1,0,.96749997
1994,1,1,.97074997
1994,1,2,.97399998
1994,1,3,.97724998
1994,1,4,.98049998
1994,1,5,.98374999
1994,1,6,.98699999
1994,1,7,.99024999
1994,1,8,.99349999
1994,1,9,.99675
1994,1,10,1
1994,1,11,1
1994,1,12,1
1994,1,13,1
1994,1,14,1
1994,1,15,1
1994,1,16,1
1994,1,17,1
1994,1,18,1
1994,1,19,1
1994,1,20,1
1994,1,21,1
1994,1,22,1
1994,1,23,1
1994,1,24,1
1994,1,25,1
1994,1,26,1
1994,1,27,1
1994,1,28,1
1994,1,29,1
1994,1,30,1
1994,2,0,.9655
1994,2,1,.96894997
1994,2,2,.97240001
1994,2,3,.97584999
1994,2,4,.97930002
1994,2,5,.98275
1994,2,6,.98619998
1994,2,7,.98965001
1994,2,8,.99309999
1994,2,9,.99655002
1994,2,10,1
1994,2,11,1
1994,2,12,1
1994,2,13,1
1994,2,14,1
1994,2,15,1
1994,2,16,1
1994,2,17,1
1994,2,18,1
1994,2,19,1
1994,2,20,1
1994,2,21,1
1994,2,22,1
1994,2,23,1
1994,2,24,1
1994,2,25,1
1994,2,26,1
1994,2,27,1
1994,2,28,1
1994,2,29,1
1994,2,30,1
1994,3,0,.96350002
1994,3,1,.96714997
1994,3,2,.97079998
1994,3,3,.97444999
1994,3,4,.9781
1994,3,5,.98175001
1994,3,6,.98540002
1994,3,7,.98904997
1994,3,8,.99269998
1994,3,9,.99634999
1994,3,10,1
1994,3,11,1
1994,3,12,1
1994,3,13,1
1994,3,14,1
1994,3,15,1
1994,3,16,1
1994,3,17,1
1994,3,18,1
1994,3,19,1
1994,3,20,1
1994,3,21,1
1994,3,22,1
1994,3,23,1
1994,3,24,1
1994,3,25,1
1994,3,26,1
1994,3,27,1
1994,3,28,1
1994,3,29,1
1994,3,30,1
1994,4,0,.96799999
1994,4,1,.97119999
1994,4,2,.97439998
1994,4,3,.97759998
1994,4,4,.98079997
1994,4,5,.98400003
1994,4,6,.98720002
1994,4,7,.99040002
1994,4,8,.99360001
1994,4,9,.99680001
1994,4,10,1
1994,4,11,1
1994,4,12,1
1994,4,13,1
1994,4,14,1
1994,4,15,1
1994,4,16,1
1994,4,17,1
1994,4,18,1
1994,4,19,1
1994,4,20,1
1994,4,21,1
1994,4,22,1
1994,4,23,1
1994,4,24,1
1994,4,25,1
1994,4,26,1
1994,4,27,1
1994,4,28,1
1994,4,29,1
1994,4,30,1
1994,5,0,.97000003
1994,5,1,.97299999
1994,5,2,.97600001
1994,5,3,.97899997
1994,5,4,.98199999
1994,5,5,.98500001
1994,5,6,.98799998
1994,5,7,.991
1994,5,8,.99400002
1994,5,9,.99699998
1994,5,10,1
1994,5,11,1
1994,5,12,1
1994,5,13,1
1994,5,14,1
1994,5,15,1
1994,5,16,1
1994,5,17,1
1994,5,18,1
1994,5,19,1
1994,5,20,1
1994,5,21,1
1994,5,22,1
1994,5,23,1
1994,5,24,1
1994,5,25,1
1994,5,26,1
1994,5,27,1
1994,5,28,1
1994,5,29,1
1994,5,30,1
1994,6,0,.97049999
1994,6,1,.97345001
1994,6,2,.97640002
1994,6,3,.97934997
1994,6,4,.98229998
1994,6,5,.98525
1994,6,6,.98820001
1994,6,7,.99115002
1994,6,8,.99409997
1994,6,9,.99704999
1994,6,10,1
1994,6,11,1
1994,6,12,1
1994,6,13,1
1994,6,14,1
1994,6,15,1
1994,6,16,1
1994,6,17,1
1994,6,18,1
1994,6,19,1
1994,6,20,1
1994,6,21,1
1994,6,22,1
1994,6,23,1
1994,6,24,1
1994,6,25,1
1994,6,26,1
1994,6,27,1
1994,6,28,1
1994,6,29,1
1994,6,30,1
1994,7,0,.97149998
1994,7,1,.97434998
1994,7,2,.97719997
1994,7,3,.98005003
1994,7,4,.98290002
1994,7,5,.98575002
1994,7,6,.98860002
1994,7,7,.99145001
1994,7,8,.99430001
1994,7,9,.99715
1994,7,10,1
1994,7,11,1
1994,7,12,1
1994,7,13,1
1994,7,14,1
1994,7,15,1
1994,7,16,1
1994,7,17,1
1994,7,18,1
1994,7,19,1
1994,7,20,1
1994,7,21,1
1994,7,22,1
1994,7,23,1
1994,7,24,1
1994,7,25,1
1994,7,26,1
1994,7,27,1
1994,7,28,1
1994,7,29,1
1994,7,30,1
1994,8,0,.97100002
1994,8,1,.97390002
1994,8,2,.97680002
1994,8,3,.97970003
1994,8,4,.98259997
1994,8,5,.98549998
1994,8,6,.98839998
1994,8,7,.99129999
1994,8,8,.99419999
1994,8,9,.9971
1994,8,10,1
1994,8,11,1
1994,8,12,1
1994,8,13,1
1994,8,14,1
1994,8,15,1
1994,8,16,1
1994,8,17,1
1994,8,18,1
1994,8,19,1
1994,8,20,1
1994,8,21,1
1994,8,22,1
1994,8,23,1
1994,8,24,1
1994,8,25,1
1994,8,26,1
1994,8,27,1
1994,8,28,1
1994,8,29,1
1994,8,30,1
1994,9,0,.97149998
1994,9,1,.97434998
1994,9,2,.97719997
1994,9,3,.98005003
1994,9,4,.98290002
1994,9,5,.98575002
1994,9,6,.98860002
1994,9,7,.99145001
1994,9,8,.99430001
1994,9,9,.99715
1994,9,10,1
1994,9,11,1
1994,9,12,1
1994,9,13,1
1994,9,14,1
1994,9,15,1
1994,9,16,1
1994,9,17,1
